	log2FC	pvalue	padj
100287102	-0.14449399258414108	0.6956869656195306	0.9281357410531286
653635	-0.3098603771989151	0.2963070446875164	0.8953752113729609
102466751	-0.24123639884910208	0.4390059277531289	0.8953752113729609
107985730	-0.09390041598428192	0.4782574950581244	0.8953752113729609
100302278	0.005917894374143689	0.9804993491760285	0.9961294904449206
645520	-0.1422575726759775	0.36906523707633626	0.8953752113729609
100996442	-0.03718935525019368	0.6914309988634035	0.9259788549924777
729737	-0.2763633752178322	0.31825064551077326	0.8953752113729609
102725121	0.047895211117199965	0.8853643024406442	0.9726557141814401
102723897	-0.31172133167669475	0.2918151685848538	0.8953752113729609
102465909	-0.20541242057916786	0.4368506011829288	0.8953752113729609
107985721	-0.0948123641466506	0.2927718942196698	0.8953752113729609
112268260	0.06441868513333944	0.6504054754029789	0.9147171357863674
100132287	-0.3117941428072222	0.3210270781050872	0.8953752113729609
113219467	0.020784797182120625	0.8630850500683054	0.9678703813864669
81399	0.1460666762900848	0.5890439601294275	0.9006564399772177
100133331	-0.2560555041577546	0.3314162017785336	0.8953752113729609
107984841	-0.19285775400536287	0.21659236024929426	0.8953752113729609
107984847	-0.11706321048570889	0.5279959240180341	0.8953752113729609
107984849	-0.018265133760846743	0.9364885009940702	0.9859681928205926
100288069	-0.07814666337898574	0.5143247028695728	0.8953752113729609
105378580	-0.01709583910509113	0.9181458466301258	0.981703597693518
400728	-0.06654357597483478	0.748987217557497	0.9410826052831244
79854	0.10118959837637558	0.549494138513267	0.8975648755228756
643837	0.02690527966575944	0.6039518959283061	0.9043533224188224
100130417	-0.2936530858849793	0.3939576824984573	0.8953752113729609
107985728	-0.35439346799294424	0.3174833721523712	0.8953752113729609
148398	-0.14667624184806405	0.7198243833844	0.9326136036671961
26155	-0.14391920720000798	0.5663826299164868	0.9006390694385425
339451	-0.43816527355293816	0.3317375577491547	0.8953752113729609
84808	-0.5049528841109309	0.322630060659123	0.8953752113729609
57801	-0.3523071717340261	0.5398159553116098	0.8964756548816748
9636	-0.2840809714215665	0.7189305525424459	0.9326136036671961
375790	-0.49270640537217264	0.2756874075437159	0.8953752113729609
105378948	-0.11046127010514709	0.7305984840552973	0.9350026105845599
54991	-0.2279713621310387	0.6386611113041167	0.9128209213256935
51150	-0.29170763307214836	0.46346012057285235	0.8953752113729609
126792	-0.021010152247249357	0.9159291001186001	0.9809583196353218
118424	-0.11298061636697275	0.4240681049485296	0.8953752113729609
101928895	-0.22870091329626757	0.5067818202745191	0.8953752113729609
6339	-0.42184913262331053	0.2749118385156739	0.8953752113729609
116983	-0.2872072645249339	0.4059190519593055	0.8953752113729609
109623456	-0.12894804957588027	0.7478348781051838	0.9410826052831244
126789	-0.20286784053779403	0.574879083475252	0.9006390694385425
54973	-0.3285048912510985	0.300747104683251	0.8953752113729609
80772	-0.30331816294166225	0.4609631079449396	0.8953752113729609
83756	-0.33525188145009815	0.44308103362171786	0.8953752113729609
1855	-0.3775460429110506	0.4436798474333504	0.8953752113729609
54587	-0.2126514084239498	0.5089209373216406	0.8953752113729609
54998	-0.3556464299489896	0.3896260413927077	0.8953752113729609
81669	-0.08432674872994321	0.31789907947515644	0.8953752113729609
148413	-0.04242029429989675	0.7678739284403339	0.9459961025640007
55052	0.008489312079814456	0.9200270793087678	0.9821686602142589
107984868	0.5586489443472181	0.12319099907988405	0.8953752113729609
441869	-0.317922498855242	0.26720772739614684	0.8953752113729609
105378585	-0.18371341774155228	0.47338872492563105	0.8953752113729609
64856	-0.3401235042514793	0.5252310491778691	0.8953752113729609
219293	-0.20109292817564403	0.4345147361544597	0.8953752113729609
83858	-0.3205703956040333	0.3801143525945212	0.8953752113729609
55210	-0.23900578105882136	0.5977920678657319	0.9025541383466518
339453	-0.30575723470642685	0.6355004816332968	0.9125386898133466
29101	-0.08796167736838624	0.3282104621022865	0.8953752113729609
643988	-0.6281107054920335	0.3260272961223255	0.8953752113729609
142678	-0.1507747086928764	0.39082585348534604	0.8953752113729609
8510	-0.2124833610061649	0.5081997874120503	0.8953752113729609
984	-0.17782545498878627	0.1761816034659396	0.8953752113729609
728661	0.003981701099915662	0.974268933052904	0.9944474129753162
728642	-0.21556564100154033	0.1103678541763948	0.8953752113729609
9906	-0.21891705901127723	0.011628090781135504	0.8953752113729609
112268218	-0.27756102564729807	0.3445302460594742	0.8953752113729609
65220	-0.17980997587297307	0.35828643943060084	0.8953752113729609
2782	0.007468719069764467	0.9467553810912037	0.9885846480840322
85452	-0.5732119129456683	0.11428277726954414	0.8953752113729609
2563	-0.202646838000292	0.6350510119449285	0.9124072191596919
5590	-0.13917763701459868	0.4901358038858615	0.8953752113729609
100506504	-0.18968362404794242	0.29564143859661446	0.8953752113729609
199990	-0.13727408354749382	0.528800331883882	0.8953752113729609
112268219	-0.18056187276116528	0.5188882234835603	0.8953752113729609
6497	-0.059086606400764304	0.5183115598614743	0.8953752113729609
79906	-0.14618778669001617	0.6194012883808735	0.9071159715920363
100129534	-0.14570573561753142	0.5640094093795718	0.9006390694385425
11079	0.00036625150728259316	0.9948909721189576	0.9982555600915828
5192	-0.12466952672260682	0.4508204775363805	0.8953752113729609
9651	-0.2364211980016131	0.4295334396097775	0.8953752113729609
55229	-0.15949590148322734	0.47456052111569463	0.8953752113729609
388585	-0.14321503347834508	0.63221541846434	0.9108122860263526
115110	-0.34296163485714537	0.3656838387478751	0.8953752113729609
8764	-0.19732485863265792	0.5769514678246382	0.9006390694385425
127281	-0.15647394929809122	0.45901314432425644	0.8953752113729609
79258	-0.17065208777411664	0.4124374771116027	0.8953752113729609
100287898	-0.05469807371598294	0.780121365661756	0.9503052674350656
112268220	-0.1974947926556627	0.5906994372084396	0.9008557867275346
105378600	-0.022990958647284013	0.9364139898282976	0.9859681928205926
105378598	-0.14897448909719382	0.41016585590209803	0.8953752113729609
107984904	0.028550293346517947	0.9187385919494436	0.9818689497788866
63976	0.1572661280849814	0.6615081681644897	0.9166409968460115
27237	-0.30209726799034786	0.4300918030226978	0.8953752113729609
1953	-0.061788262785821314	0.8200024322706256	0.9566330008738613
127262	-0.011043367517088627	0.9145568612440047	0.9807868845352403
49856	-0.12025828925215704	0.5125706902868812	0.8953752113729609
7161	-0.11943930251243993	0.6240311559358682	0.9076488988677147
57212	-0.015219067440347652	0.8580415141794954	0.9667005463562752
57470	-0.022640799416245517	0.8169170045635282	0.9560998451204188
9731	-0.07101278313255131	0.4056156118485493	0.8953752113729609
1677	-0.1429419635606721	0.09869174116380384	0.8953752113729609
107984910	-0.3942852639336639	0.19845144269094098	0.8953752113729609
339448	-0.026705299074877304	0.7067848789536437	0.9295767682959224
55966	0.012899091212788214	0.9036564166816377	0.9780180385004813
107984911	-0.25163183517178145	0.4904922152944455	0.8953752113729609
105376686	-0.12782874943212835	0.5816324244281956	0.9006390694385425
261734	-0.2255004266306823	0.40143620155093906	0.8953752113729609
8514	-0.1555276282736106	0.5302470279411544	0.8953752113729609
26038	-0.13856377394028302	0.5855818725261531	0.9006390694385425
6146	0.10445554270065724	0.12461023985289933	0.8953752113729609
107985733	-0.0316672718864288	0.7248382009473362	0.9333991798862473
102724450	-0.16826208210748397	0.3753458207396041	0.8953752113729609
388591	-0.18299900136673172	0.19552154914631356	0.8953752113729609
23463	-0.0425045609973327	0.582851130155049	0.9006390694385425
148645	-0.18675160745501823	0.4944536208886933	0.8953752113729609
387509	-0.19685769847269324	0.474082172796944	0.8953752113729609
11332	-0.21031275665571036	0.3912027608140998	0.8953752113729609
54626	-0.20277056567302162	0.2947364312130058	0.8953752113729609
83715	-0.33986054031801854	0.36663010537622387	0.8953752113729609
8718	-0.3273132813881655	0.3299804432244767	0.8953752113729609
57449	-0.2866679629339079	0.34378626829171643	0.8953752113729609
79707	0.0018787358358506312	0.9853190863034373	0.9967337003407023
80835	-0.295159333179652	0.39614451943023177	0.8953752113729609
3104	-0.20772382615260648	0.5063277476489216	0.8953752113729609
9903	-0.07422018883377264	0.74346777405218	0.9392823451584031
107984913	-0.38750518433302694	0.1267879102887237	0.8953752113729609
148479	-0.07253337890538217	0.3515481152872288	0.8953752113729609
90326	-0.1755599095789732	0.4288901856552328	0.8953752113729609
55735	-0.09649538610841961	0.4233019671027647	0.8953752113729609
23261	0.10610809780724013	0.23705950351258637	0.8953752113729609
105376689	-0.0800026337870836	0.31449869332233954	0.8953752113729609
9341	0.13179940041976337	0.15923148281568023	0.8953752113729609
8863	0.008899900703592657	0.9224337338273114	0.9825188189333186
11315	-0.015108956912372249	0.7890978537055666	0.9511106151944217
54206	0.13475601844172344	0.11948758272799496	0.8953752113729609
50651	-0.25364220553761474	0.4898206039023837	0.8953752113729609
473	-0.04198000418675195	0.6495246644860557	0.9144515755205406
2023	-0.05732704440338462	0.7318971386903121	0.9356531407088735
6518	0.007172588784428772	0.9790015163837543	0.9954333531495391
80045	-0.1614147295856253	0.39706287121930345	0.8953752113729609
106614088	0.06926157704742396	0.7492204158171463	0.9410826052831244
9563	-0.13447935554789697	0.27296646018041354	0.8953752113729609
80176	0.14020506457960025	0.6046181364503125	0.9043533224188224
84275	0.02788736455812213	0.71095049125722	0.9305964001484489
199953	-0.22018387586318325	0.4190072175630775	0.8953752113729609
107985734	-0.07523691100251853	0.7187191244187912	0.9326136036671961
5293	-0.49401940184008386	0.18011593062685305	0.8953752113729609
22883	-0.17219281566026468	0.34144943998411437	0.8953752113729609
56998	-0.2659642673047519	0.1120587879725826	0.8953752113729609
105376717	-0.5136274906192867	0.24018731842427865	0.8953752113729609
84328	0.07564804445776001	0.3502617770743552	0.8953752113729609
64802	-0.012917644068308365	0.8737704807976718	0.9702458307452565
116362	0.13000054337986683	0.5581345984885855	0.9000959694991316
10277	0.013635276668798274	0.7005617390748762	0.9284277691709076
23095	-0.010763845619580274	0.8765478538408618	0.9708806359219071
105376725	-0.02127388869082152	0.867832446256452	0.9695223247826412
5226	-0.043499395717669045	0.7132719944133588	0.9306982431260536
100526739	-0.05655871026758339	0.5907727782944525	0.9008557867275346
378708	0.024025768693414613	0.8119014587938782	0.9550998177003922
1325	-0.35894796915552846	0.22445267673026606	0.8953752113729609
1676	-0.07149669210377503	0.36442499962133396	0.8953752113729609
5195	-0.18515477249092355	0.5216383904942895	0.8953752113729609
54897	-0.1270743143304983	0.4783768087887191	0.8953752113729609
105376733	-0.21470780994084632	0.37435941344530577	0.8953752113729609
23435	0.12969301233187358	0.1724432784446393	0.8953752113729609
10747	-0.06997424277501277	0.5967062091538786	0.9024276859692572
6723	-0.16366911092026243	0.545099000814989	0.8964756548816748
5394	-0.026714408750037832	0.6414669287392954	0.9132072823203804
105376736	-0.08367369853871069	0.7795779706503033	0.9502743517776202
2475	-0.035405795485654555	0.5907657857191584	0.9008557867275346
100873935	-0.18979496809156268	0.31295341776234104	0.8953752113729609
10218	0.29632478078098046	0.434855500065206	0.8953752113729609
29914	-0.13976675535299085	0.11636446013215924	0.8953752113729609
57540	-0.5379678141210151	0.15830793814590263	0.8953752113729609
112268221	-0.4427426770322136	0.1791314444672827	0.8953752113729609
26232	-0.46542414573443835	0.13870160191043546	0.8953752113729609
93611	-0.2252247737707173	0.315983071283071	0.8953752113729609
26270	-0.2106293129599018	0.3880842481076232	0.8953752113729609
10459	-0.13688728992499385	0.584127846690579	0.9006390694385425
57085	-0.17448310866004532	0.5952380456418054	0.9016832380843528
284498	-0.25636202923287094	0.45003364942546875	0.8953752113729609
4524	-0.1150934959756454	0.4597982658619739	0.8953752113729609
1185	-0.08551134087458076	0.3920400902759204	0.8953752113729609
100379251	-0.023321861439086565	0.7642671150304992	0.9455034695889382
