	log2FC	pvalue	padj
ENSG00000000003	-0.1829481304927966	0.26823333588969367	0.9970832824130412
ENSG00000000419	-0.01674194639808201	0.9032990732220247	0.9970832824130412
ENSG00000000457	-0.09648390243621811	0.5371252904750916	0.9970832824130412
ENSG00000000460	-0.1543953380621164	0.36575017123325965	0.9970832824130412
ENSG00000000938	0.7107656276773034	0.033468824547231955	0.9970832824130412
ENSG00000000971	0.05602023185876148	0.8390748395717813	0.9970832824130412
ENSG00000001036	-0.3196579545972906	0.040883498071516575	0.9970832824130412
ENSG00000001084	-0.3472595847775703	0.026045503311074653	0.9970832824130412
ENSG00000001167	-0.02406431436437221	0.8727083050153912	0.9970832824130412
ENSG00000001460	0.13946188807779095	0.12854558012195616	0.9970832824130412
ENSG00000001461	0.08575411255121382	0.24889478106681578	0.9970832824130412
ENSG00000001497	0.13538777018597736	0.16515546894292196	0.9970832824130412
ENSG00000001561	-0.018252819707103997	0.90712101230506	0.9970832824130412
ENSG00000001617	0.2315388705511346	0.486305596460018	0.9970832824130412
ENSG00000001629	-0.09210996185389836	0.39713149349809235	0.9970832824130412
ENSG00000001630	0.038317044515429284	0.7924188376861093	0.9970832824130412
ENSG00000001631	-0.019819845920649042	0.892872523549911	0.9970832824130412
ENSG00000002016	0.11789280030080672	0.3806820122563443	0.9970832824130412
ENSG00000002330	0.20636586532879836	0.5495488804569921	0.9970832824130412
ENSG00000002549	-0.15787243424979122	0.44757704235599455	0.9970832824130412
ENSG00000002586	0.03856794023219072	0.860033286702877	0.9970832824130412
ENSG00000002587	-0.09243170565575942	0.6496862987258545	0.9970832824130412
ENSG00000002746	-0.06071343994314422	0.6115416497520006	0.9970832824130412
ENSG00000002822	0.1786929208413926	0.5390910773535917	0.9970832824130412
ENSG00000002834	-0.04313788034812167	0.7123087243627715	0.9970832824130412
ENSG00000002919	0.09386667888799773	0.35767488504306244	0.9970832824130412
ENSG00000002933	-0.2869947579058424	0.37153092484454037	0.9970832824130412
ENSG00000003056	-0.04752376116511086	0.6114788636652408	0.9970832824130412
ENSG00000003096	-0.14751357693533382	0.273687461465512	0.9970832824130412
ENSG00000003137	-0.28750174748584645	0.40031142140708015	0.9970832824130412
ENSG00000003147	0.1490068004255145	0.3276492853583579	0.9970832824130412
ENSG00000003249	0.15589967833378351	0.5920693859025861	0.9970832824130412
ENSG00000003393	-0.01249183446794394	0.9123722521639639	0.9970832824130412
ENSG00000003400	-0.2682735834459229	0.2199949475910062	0.9970832824130412
ENSG00000003402	-0.14004951980889485	0.19265259883120897	0.9970832824130412
ENSG00000003436	-0.12419705509310026	0.5393734548985245	0.9970832824130412
ENSG00000003509	0.01045833185244294	0.9197316087876137	0.9977220463671619
ENSG00000003756	0.024937398541901107	0.7698579168207731	0.9970832824130412
ENSG00000003987	-0.04174091005601044	0.8117608774050634	0.9970832824130412
ENSG00000003989	-0.11251510353404508	0.4758839162694419	0.9970832824130412
ENSG00000004059	0.14172702910765275	0.420042914365417	0.9970832824130412
ENSG00000004139	0.0651991271176656	0.6410116935383197	0.9970832824130412
ENSG00000004142	0.06167286978063852	0.6221303810139249	0.9970832824130412
ENSG00000004399	-0.1922422091689413	0.5886093457508333	0.9970832824130412
ENSG00000004455	-0.09694509823254431	0.43150799222493935	0.9970832824130412
ENSG00000004478	0.11903895459906702	0.4076692738927354	0.9970832824130412
ENSG00000004487	-0.054500753798322164	0.356931345920378	0.9970832824130412
ENSG00000004534	-0.05356270565684594	0.7481549920906065	0.9970832824130412
ENSG00000004660	0.17881155718071726	0.4051221221046519	0.9970832824130412
ENSG00000004700	-0.21376262669745164	0.11213267945742651	0.9970832824130412
ENSG00000004766	-0.10583945503828171	0.4848260494699236	0.9970832824130412
ENSG00000004776	-0.011433947993819372	0.9654121685814817	0.9991300928781166
ENSG00000004777	0.2910268654312928	0.41558495738554113	0.9970832824130412
ENSG00000004779	0.005818842278034737	0.9615722156622947	0.9991300928781166
ENSG00000004799	0.21422935368971968	0.4720349243405487	0.9970832824130412
ENSG00000004838	0.5768364872888151	0.07027899514262048	0.9970832824130412
ENSG00000004864	-0.037984840160446134	0.808818287302282	0.9970832824130412
ENSG00000004866	-0.12560923691120046	0.2728982103904277	0.9970832824130412
ENSG00000004897	-0.19621310859484462	0.19537438015737238	0.9970832824130412
ENSG00000004961	-0.0016807832317246323	0.9885626623050001	0.9997769793350487
ENSG00000004975	0.22467795218026565	0.4424461190661166	0.9970832824130412
ENSG00000005007	0.21183443412920047	0.3531254123029244	0.9970832824130412
ENSG00000005020	-0.08156567786810186	0.6322473432418423	0.9970832824130412
ENSG00000005022	0.0528967709136024	0.6585314512107882	0.9970832824130412
ENSG00000005059	-0.29547792902093684	0.07206423728909857	0.9970832824130412
ENSG00000005075	0.26192551372003203	0.3199183147367997	0.9970832824130412
ENSG00000005100	-0.0022346166863019506	0.9793750421424903	0.9991670274588533
ENSG00000005108	-0.17847154453273717	0.20781187359906997	0.9970832824130412
ENSG00000005156	0.13401407504360802	0.13286107384962137	0.9970832824130412
ENSG00000005175	-0.16498092224195962	0.3018361189745999	0.9970832824130412
ENSG00000005189	0.13763935648291328	0.3040543379741755	0.9970832824130412
ENSG00000005194	0.09082477398602957	0.30095638328352314	0.9970832824130412
ENSG00000005206	0.11472621856261497	0.7195161591011471	0.9970832824130412
ENSG00000005238	0.07140659001231227	0.7179445212379751	0.9970832824130412
ENSG00000005243	-0.04031357780540936	0.8460350174250817	0.9970832824130412
ENSG00000005249	-0.14270828065008498	0.3682988177861471	0.9970832824130412
ENSG00000005302	-0.11005258019259853	0.2139318459422574	0.9970832824130412
ENSG00000005339	-0.042042986845275264	0.6587299546974434	0.9970832824130412
ENSG00000005379	0.3141614130204506	0.17598514025912926	0.9970832824130412
ENSG00000005381	-0.1930551831523058	0.5573707129621153	0.9970832824130412
ENSG00000005436	-0.11130339682372346	0.5466577672496209	0.9970832824130412
ENSG00000005448	0.189065363168464	0.464771133313363	0.9970832824130412
ENSG00000005469	-0.08632047445690527	0.6586117478817288	0.9970832824130412
ENSG00000005471	-0.3824533828658325	0.22078449542047526	0.9970832824130412
ENSG00000005483	-0.09944439488087381	0.3525053946038503	0.9970832824130412
ENSG00000005486	0.04911434423942109	0.8369658828907173	0.9970832824130412
ENSG00000005513	-0.05817084628167426	0.8418709336295691	0.9970832824130412
ENSG00000005700	-0.12487132063197277	0.44046119184156296	0.9970832824130412
ENSG00000005801	-0.09861989144207754	0.5337806518210942	0.9970832824130412
ENSG00000005810	-0.08207101072610416	0.45570155166938486	0.9970832824130412
ENSG00000005812	-0.13201888218525504	0.4258928732747584	0.9970832824130412
ENSG00000005844	-0.10288034776197551	0.8162450565949941	0.9970832824130412
ENSG00000005882	0.08782518449747721	0.734663928379595	0.9970832824130412
ENSG00000005884	0.027387230101748008	0.9101884098469193	0.9970832824130412
ENSG00000005889	-0.265865575695997	0.1775990519632273	0.9970832824130412
ENSG00000005893	-0.22221291473671295	0.12068601573692236	0.9970832824130412
ENSG00000005961	0.34116940269241236	0.23263680060389821	0.9970832824130412
ENSG00000006007	-0.05336197851697404	0.6449053613905784	0.9970832824130412
ENSG00000006015	0.3662609301802847	0.19485940313984706	0.9970832824130412
ENSG00000006025	0.4789910240151868	0.10366041724889928	0.9970832824130412
ENSG00000006042	-0.16624844689745416	0.3028056183158208	0.9970832824130412
ENSG00000006047	0.20303007315695218	0.39079694997948505	0.9970832824130412
ENSG00000006062	0.29711650458433475	0.2649702628754183	0.9970832824130412
ENSG00000006071	0.07111147377836038	0.7795309111364587	0.9970832824130412
ENSG00000006116	-0.006547858485829398	0.9711015347381702	0.9991300928781166
ENSG00000006118	0.22897384727992123	0.4752467612945915	0.9970832824130412
ENSG00000006125	-0.10094921722206893	0.09825735025110893	0.9970832824130412
ENSG00000006128	0.12887559603256318	0.7542665939457676	0.9970832824130412
ENSG00000006194	0.03459726055451917	0.7039331139791807	0.9970832824130412
ENSG00000006210	0.03340355576863066	0.8969992136870766	0.9970832824130412
ENSG00000006282	-0.20672998075349946	0.5341766144945745	0.9970832824130412
ENSG00000006283	-0.05272483657015738	0.8492412506370568	0.9970832824130412
ENSG00000006327	-0.4396645295828721	0.3684439013581712	0.9970832824130412
ENSG00000006432	0.06567236708928177	0.6291126895225985	0.9970832824130412
ENSG00000006451	-0.11451628133632166	0.4517437263772348	0.9970832824130412
ENSG00000006453	0.023728671635884446	0.9151500137283245	0.9970832824130412
ENSG00000006459	-0.061309349438403056	0.7317962025116098	0.9970832824130412
ENSG00000006468	-0.011172723535005211	0.9418308251518621	0.9991300928781166
ENSG00000006530	0.004279947226952595	0.9654399140225003	0.9991300928781166
ENSG00000006534	-0.49091531417313056	0.1913019378210553	0.9970832824130412
ENSG00000006576	-0.14039510123517643	0.438773529911072	0.9970832824130412
ENSG00000006606	-0.0017234779005673977	0.9957575375975848	0.9997769793350487
ENSG00000006607	0.12801528213500526	0.19144265348916695	0.9970832824130412
ENSG00000006611	0.09274642162317454	0.6758000551091354	0.9970832824130412
ENSG00000006625	-0.005749129159467245	0.9591107350115481	0.9991300928781166
ENSG00000006634	-0.17507952556131884	0.366984661586229	0.9970832824130412
ENSG00000006652	-0.019192747439535484	0.8838287922171827	0.9970832824130412
ENSG00000006695	0.059940625183747466	0.5910199861890639	0.9970832824130412
ENSG00000006704	0.10794357198414985	0.5813030937421062	0.9970832824130412
ENSG00000006712	0.10541111985273874	0.3163083465219973	0.9970832824130412
ENSG00000006715	-0.09959742934354734	0.3195486026570108	0.9970832824130412
ENSG00000006740	0.008523631239320796	0.9482126071154685	0.9991300928781166
ENSG00000006744	-0.00617505675481223	0.9703526280731489	0.9991300928781166
ENSG00000006747	0.15709937404835145	0.7058591402931316	0.9970832824130412
ENSG00000006756	-0.4186786283414427	0.08747029034950064	0.9970832824130412
ENSG00000006757	-0.22620836324118734	0.2663102264225339	0.9970832824130412
ENSG00000006831	-0.04175551432131022	0.6704324022974149	0.9970832824130412
ENSG00000006837	-0.07877991052623899	0.6800261321709433	0.9970832824130412
ENSG00000007001	0.03813337300176495	0.9389178450945564	0.9991300928781166
ENSG00000007047	0.0724114494440212	0.7103613196393377	0.9970832824130412
ENSG00000007062	0.0347756499227431	0.8396625302505832	0.9970832824130412
ENSG00000007080	0.2869741386596478	0.49226608920014386	0.9970832824130412
ENSG00000007168	-0.0930842046781948	0.35602319073444744	0.9970832824130412
ENSG00000007171	-0.12453075458703909	0.751847324247192	0.9970832824130412
ENSG00000007174	0.16312220352209145	0.24334026799438363	0.9970832824130412
ENSG00000007202	0.18810608131080273	0.06108024939350589	0.9970832824130412
ENSG00000007216	0.013618853198478262	0.9742541627292609	0.9991670274588533
ENSG00000007237	-0.012636695308351835	0.9500921274173094	0.9991300928781166
ENSG00000007255	-0.12229854541625909	0.7712529373239472	0.9970832824130412
ENSG00000007264	-0.1031164897484651	0.8062741114784029	0.9970832824130412
ENSG00000007341	-0.009794957890803827	0.9254849337801807	0.9985565110877547
ENSG00000007350	-0.01267427960945867	0.9449249239872259	0.9991300928781166
ENSG00000007372	-0.18347414271363777	0.09119164450955884	0.9970832824130412
ENSG00000007376	0.10403677994616872	0.8379397288687311	0.9970832824130412
ENSG00000007384	0.05407323098192432	0.8470753607512183	0.9970832824130412
ENSG00000007392	0.024469418526528952	0.7824118152007715	0.9970832824130412
ENSG00000007402	0.07427993016277708	0.7302046911361255	0.9970832824130412
ENSG00000007516	0.07024162344153163	0.8672345732302637	0.9970832824130412
ENSG00000007520	0.28176899232780045	0.3422810292669	0.9970832824130412
ENSG00000007541	0.32010112865992846	0.44448539484992483	0.9970832824130412
ENSG00000007545	0.14500667025397226	0.17480873871907257	0.9970832824130412
ENSG00000007866	-0.16104184254199136	0.6233026931075651	0.9970832824130412
ENSG00000007923	0.07709958431083339	0.5082300676260234	0.9970832824130412
ENSG00000007944	-0.027593481981277635	0.8413142185841433	0.9970832824130412
ENSG00000008018	-0.025932717104827637	0.7303180851181612	0.9970832824130412
ENSG00000008056	0.004215412195061795	0.9751806004001029	0.9991670274588533
